Nr;Kategorie;Frage;Antwort A;Antwort B;Antwort C;Antwort D;Loesung;Paragraf;Begruendung
92;Kuendigung;Darf der AG während der Elternzeit kündigen?;Immer;Nur mit Genehmigung der Behörde;Ja nach 3 Monaten;Nur bei Diebstahl;B;§ 18 BEEG;Während der Elternzeit besteht ein besonderer Kündigungsschutz; Ausnahmen bedürfen der Zustimmung der Aufsichtsbehörde.
93;Rechte;Darf der BR Sprechstunden abhalten?;Nein;Ja (während der Arbeitszeit);Nur in der Pause;Nur per Telefon;B;§ 39 BetrVG;Der Betriebsrat kann während der Arbeitszeit Sprechstunden einrichten. Zeit und Ort sind mit dem AG zu vereinbaren.
94;Gleichstellung;Was ist das AGG?;Ein Sportverein;Allgemeines Gleichbehandlungsgesetz;Abgasgesetz;Arbeitsgeldgesetz;B;AGG;Das AGG schützt vor Diskriminierung aus Gründen der Rasse, Religion, Alter, Behinderung oder Geschlecht.
95;Allgemein;Wann finden die regelmäßigen BR-Wahlen statt?;Alle 2 Jahre;Alle 4 Jahre (März-Mai);Alle 5 Jahre;Jedes Jahr;B;§ 13 BetrVG;Die regelmäßigen Betriebsratswahlen finden alle vier Jahre in der Zeit vom 1. März bis 31. Mai statt.
96;Arbeitsschutz;Darf der BR eine Bildschirmbrille fordern?;Nein;Ja (wenn Augenarzt es bestätigt);Nur für Privat;Nur bei 100% PC-Arbeit;B;ArbMedVV;Der AG hat den Beschäftigten an Bildschirmgeräten im erforderlichen Umfang spezielle Sehhilfen zur Verfügung zu stellen.
97;Gehalt;Was ist eine "Leistungszulage"?;Festgehalt;Zahlung nach messbarer Leistung;Urlaubsgeld;Abzug;B;§ 87 Abs. 1 Nr. 11 BetrVG;Die Festsetzung von Akkord- und Prämiensätzen sowie vergleichbaren leistungsbezogenen Entgelten ist mitbestimmungspflichtig.
98;Versetzung;Kann ein MA eine Versetzung verweigern?;Ja immer;Nein (muss erst mal folgen);Nur bei Krankheit;Nur mit BR;B;Arbeitsrecht;Ein MA muss einer wirksamen Versetzung zunächst Folge leisten (Remonstrationspflicht), kann sie aber gerichtlich prüfen lassen.
99;Kuendigung;Was ist eine "personenbedingte Kündigung"?;Kündigung wegen Verhalten;Kündigung wegen mangelnder Eignung;Umzug;Streik;B;KSchG;Hier liegt der Grund in der Person des Arbeitnehmers (z.B. lang anhaltende Krankheit), nicht in seinem steuerbaren Verhalten.
100;Stahl;Wer stellt den "Neutralen" im Montan-Aufsichtsrat?;Der Chef;Der Wahlausschuss;Die Hauptversammlung;Die Bundesregierung;C;§ 8 MontanMitbestG;Das elfte (neutrale) Mitglied wird auf Vorschlag der übrigen Aufsichtsratsmitglieder von der Hauptversammlung gewählt.
101;Arbeitszeit;Darf der AG "Vertrauensarbeitszeit" ohne BR einführen?;Ja;Nein (Mitbestimmung);Nur für Chefs;Nur im Homeoffice;B;§ 87 Abs. 1 Nr. 2 BetrVG;Die Einführung und Ausgestaltung von Arbeitszeitsystemen (auch Vertrauenszeit) unterliegt der zwingenden Mitbestimmung.
102;Rechte;Darf der BR einen eigenen Sachverständigen für Bilanzen laden?;Nein;Ja (Wirtschaftsausschuss);Nur bei Insolvenz;Nur bei Streik;B;§ 108 Abs. 2 BetrVG;Der Wirtschaftsausschuss kann bei Bedarf unter Hinzuziehung von Sachverständigen tagen.
103;Kuendigung;Was ist eine "Druckkündigung"?;Kündigung durch Erpressung;Kündigung auf Druck Dritter;Eine schnelle Kündigung;Ein Irrtum;B;KSchG Rechtsprechung;Wenn Dritte (z.B. Kunden oder Belegschaft) unter Androhung von Nachteilen die Entlassung eines MA fordern.
104;Versetzung;Gilt der Wechsel von Tagschicht auf Dauernacht als Versetzung?;Nein;Ja (erhebliche Änderung);Nur im Sommer;Nur bei Azubis;B;§ 95 Abs. 3 BetrVG;Eine erhebliche Änderung der Arbeitsumstände (wie der dauerhafte Schichtwechsel) gilt rechtlich als Versetzung.
105;Gehalt;Was ist eine "Ausschlussfrist"?;Zeit bis zur Rente;Frist zum Einklagen von Lohn;Pause;Probezeit;B;Tarifvertrag / BGB;Zeitraum (oft 3-6 Monate), in dem Ansprüche aus dem Arbeitsverhältnis schriftlich geltend gemacht werden müssen, sonst verfallen sie.
106;Stahl;Was ist das Ziel der Montan-Mitbestimmung?;Gewinnmaximierung;Soziale Sicherheit & Frieden;Abbau von Stellen;Mehr Urlaub;B;MontanMitbestG;Das Gesetz zielt darauf ab, durch paritätische Mitbestimmung den sozialen Frieden in der Schlüsselindustrie Eisen und Stahl zu sichern.
107;Arbeitsschutz;Muss der BR bei der Auswahl der FFP2-Masken mitreden?;Nein;Ja (Gesundheitsschutz);Nur bei Staub;Nur im Winter;B;§ 87 Abs. 1 Nr. 7 BetrVG;Bei der Ausgestaltung von Gesundheitsschutzmaßnahmen (PSA-Auswahl) hat der BR ein Mitbestimmungsrecht.
108;Rechte;Darf ein BR-Mitglied während der Kurzarbeit geschult werden?;Nein;Ja (trotz Kurzarbeit);Nur auf eigene Kosten;Nur am Wochenende;B;§ 37 Abs. 6 BetrVG;Der Schulungsanspruch besteht fort, auch wenn im Betrieb Kurzarbeit herrscht, sofern die Kenntnisse erforderlich sind.
109;Allgemein;Was ist ein "Tendenzbetrieb"?;Ein Bergbauunternehmen;Betrieb mit politischem/religiösem Ziel;Ein Start-up;Eine Stahlhütte;B;§ 118 BetrVG;Betriebe, die unmittelbar politischen, konfessionellen oder karitativen Zwecken dienen. Hier ist die Mitbestimmung eingeschränkt.
110;Kuendigung;Darf der AG eine Kündigung per WhatsApp schicken?;Ja;Nein (Schriftformerfordernis);Nur bei Azubis;Nur bei Diebstahl;B;§ 623 BGB;Die Beendigung von Arbeitsverhältnissen bedarf zu ihrer Wirksamkeit der Schriftform (Originalunterschrift auf Papier).
111;Arbeitszeit;Wie viel Pause steht einem MA bei 10 Std. Arbeit zu?;30 Min.;45 Min.;60 Min.;15 Min.;B;§ 4 ArbZG;Bei einer Arbeitszeit von mehr als neun Stunden ist eine Pause von insgesamt mindestens 45 Minuten vorgeschrieben.
112;Stahl;Was ist die Aufgabe des Aufsichtsrats?;Tagesgeschäft;Überwachung des Vorstands;Essen kochen;Post verteilen;B;AktG / GmbHG;Der Aufsichtsrat überwacht die Geschäftsführung (Vorstand) und berät sie bei wichtigen Entscheidungen.
113;Rechte;Darf der BR eine Mitarbeiterbefragung stoppen?;Nein;Ja (Ordnungsverhalten);Nur bei Kritik;Nur bei Azubis;B;§ 87 Abs. 1 Nr. 1 BetrVG;Anonyme Befragungen zum Betriebsklima berühren das Ordnungsverhalten und sind oft mitbestimmungspflichtig.
114;Urlaub;Darf der AG Urlaub "anordnen" (Betriebsferien)?;Nein;Ja (mit BR-Zustimmung);Immer;Nur im Winter;B;§ 87 Abs. 1 Nr. 5 BetrVG;Die Einführung von Betriebsferien ist eine allgemeine Urlaubsgrundregel und muss mit dem BR vereinbart werden.
115;Gleichstellung;Muss der AG eine Frauenquote im BR beachten?;Nein;Ja (Minderheitengeschlecht);Nur bei 1000 MA;Nur im Büro;B;§ 15 Abs. 2 BetrVG;Das Geschlecht, das im Betrieb in der Minderheit ist, muss entsprechend seinem zahlenmäßigen Verhältnis im BR vertreten sein.
116;IT-Datenschutz;Darf der AG "Keylogger" (Tasten-Aufzeichnung) nutzen?;Ja;Nein (strafbar/unzulässig);Nur bei IT-lern;Nur nachts;B;BDSG / BAG Urteil;Der Einsatz von Keyloggern zur bloßen Leistungskontrolle ohne konkreten Verdacht einer Straftat ist unzulässig.
117;Personal;Was ist ein "Personalfragebogen"?;Ein Test;Formular zur Datenerhebung;Ein Kündigungsgrund;Ein Urlaubsantrag;B;§ 94 BetrVG;Personalfragebogen bedürfen der Zustimmung des Betriebsrats.
118;Allgemein;Was ist ein "Gemeinsamer Betrieb"?;Zwei Firmen an einem Ort;Eine Kantine;Ein Parkplatz;Ein Sportverein;A;§ 1 Abs. 2 BetrVG;Wenn zwei oder mehr Unternehmen ihre Betriebsmittel und Arbeitnehmer zur Verfolgung arbeitstechnischer Zwecke gemeinsam nutzen.
119;Versetzung;Darf der AG einen MA "strafversetzen"?;Ja;Nein (willkürlich verboten);Nur bei Diebstahl;Nur bei Azubis;B;§ 106 GewO / § 99 BetrVG;Maßnahmen des AG dürfen nicht schikkanös oder willkürlich sein (Maßregelungsverbot).
120;Kuendigung;Wann ist eine Kündigung "sozial ungerechtfertigt"?;Immer;Wenn kein Grund nach KSchG vorliegt;Nur bei Azubis;Nur im Sommer;B;§ 1 KSchG;Wenn sie nicht durch personen-, verhaltens- oder betriebsbedingte Gründe bedingt ist.
121;Arbeitszeit;Muss der BR Mehrarbeit bei Notfällen zustimmen?;Nein;Ja (auch nachträglich);Egal;Nur bei Feuer;B;§ 87 Abs. 1 Nr. 3 BetrVG;Auch bei Eilfällen besteht Mitbestimmung; der AG muss den BR unverzüglich informieren und die Zustimmung einholen.
122;Stahl;Was regelt die "Montan-Mitbestimmung Ergänzung"?;Pausenzeiten;Mitbestimmung in Holding-Strukturen;Parkplätze;Helmfarbe;B;MontanMitbestGErgG;Regelt die Mitbestimmung in Konzernen, deren Tochtergesellschaften überwiegend im Montanbereich tätig sind.
123;Rechte;Darf der BR-Vorsitzende den AG allein verklagen?;Ja;Nein (BR-Beschluss nötig);Nur bei Eile;Nur bei Geld;B;§ 33 BetrVG;Der BR kann nur durch einen ordnungsgemäßen Mehrheitsbeschluss rechtlich wirksam handeln.
124;Arbeitsschutz;Wer führt das "Verbandbuch"?;Der Chef;Der Ersthelfer/AG;Der BR;Die Polizei;B;DGUV Vorschrift 1;Jede Erste-Hilfe-Leistung muss dokumentiert werden (Nachweis für Berufsgenossenschaft bei Spätfolgen).
125;Gehalt;Was ist eine "Sonderzahlung"?;Normaler Lohn;Weihnachts-/Urlaubsgeld;Eine Strafe;Ein Abzug;B;BetrVG allgemein;Freiwillige Sonderzahlungen unterliegen hinsichtlich der Verteilungsgrundsätze der Mitbestimmung (§ 87).
126;Bildung;Wer zahlt die Reisekosten zur BR-Schulung?;Der MA;Der Arbeitgeber;Die Gewerkschaft;Die Krankenkasse;B;§ 40 Abs. 1 BetrVG;Zu den Kosten der Betriebsratstätigkeit gehören auch die Reisekosten für erforderliche Schulungsteilnahmen.
127;Allgemein;Was ist die "Wählerliste"?;Einkaufsliste;Verzeichnis der Wahlberechtigten;Lohnliste;Telefonbuch;B;§ 2 WO;Nur wer in der Wählerliste eingetragen ist, darf wählen oder gewählt werden.
128;IT-Datenschutz;Darf der AG private E-Mails am PC verbieten?;Ja;Nein;Nur im Sommer;Nur bei Azubis;A;§ 87 / IT-BV;Der Arbeitgeber kann die private Nutzung von IT-Systemen untersagen oder einschränken.
129;Jugend;Wie lange dauert die Amtszeit der JAV?;1 Jahr;2 Jahre;4 Jahre;5 Jahre;B;§ 64 BetrVG;Die regelmäßige Amtszeit der Jugend- und Auszubildendenvertretung beträgt zwei Jahre.
130;Arbeitszeit;Was ist "Rufbereitschaft"?;Arbeit am Ofen;Warten auf Abruf (Ort frei);Schlafen im Werk;Pause;B;ArbZG / BAG;Der MA kann seinen Aufenthaltsort selbst wählen, muss aber erreichbar sein. Sie gilt nicht als Arbeitszeit (außer die Einsatzzeit).
131;Stahl;Darf der BR die Kantinenpreise mitbestimmen?;Nein;Ja (Soziale Einrichtung);Nur bei Fleisch;Nur für Gäste;B;§ 87 Abs. 1 Nr. 8 BetrVG;Die Festlegung der Preise in einer Sozialeinrichtung des Betriebs (Kantine) ist mitbestimmungspflichtig.
132;Abmahnung;Wie lange bleibt eine Abmahnung in der Akte?;Ewig;Meist 2-3 Jahre (bis zur Wirkungslosigkeit);1 Monat;10 Jahre;B;Rechtsprechung;Es gibt keine feste Frist, aber nach ca. 2-3 Jahren ohne neue Vorfälle verliert sie meist ihre Warnfunktion.
133;Urlaub;Was ist "Urlaubsabgeltung"?;Urlaub nehmen;Geld für nicht genommenen Urlaub;Urlaub kürzen;Urlaub schenken;B;§ 7 Abs. 4 BUrlG;Nur wenn der Urlaub wegen Beendigung des Arbeitsverhältnisses nicht mehr genommen werden kann, ist er finanziell abzugelten.
134;Betriebsvereinbarung;Kann eine BV den Tarifvertrag verschlechtern?;Ja;Nein (Günstigkeitsprinzip);Nur bei Krise;Nur mit Chef;B;§ 77 Abs. 3 BetrVG;Arbeitsentgelte und Arbeitsbedingungen, die durch Tarifvertrag geregelt sind, können nicht durch BV verschlechtert werden (Tarifvorrang).
135;Personal;Darf der BR ein "qualifiziertes Zeugnis" fordern?;Nein;Ja (Unterstützung des MA);Nur für Chefs;Nur bei Rente;B;§ 109 GewO / § 80 BetrVG;Jeder MA hat Anspruch auf ein Zeugnis, das auch Angaben zu Führung und Leistung enthält.
136;Arbeitsschutz;Muss der BR bei der Brandschutzübung dabei sein?;Nein;Ja (Teil des Gesundheitsschutzes);Nur bei Feuer;Nur nachts;B;§ 80 / § 87 BetrVG;Der BR hat über die Durchführung der Brandschutzvorschriften zu wachen und wirkt bei der Organisation mit.
137;Kuendigung;Gilt der Kündigungsschutz für Kleinbetriebe?;Ja;Nein (unter 10 MA);Nur bei Stahl;Nur bei Azubis;B;§ 23 KSchG;Das Kündigungsschutzgesetz gilt erst in Betrieben mit in der Regel mehr als 10 Arbeitnehmern.
138;Arbeitszeit;Darf der AG Überstunden mit Freizeit ausgleichen?;Ja (wenn vereinbart);Nein nie;Nur bei Azubis;Nur im Winter;A;Arbeitsvertrag / BV;Ein Freizeitausgleich für Überstunden bedarf einer vertraglichen Grundlage oder einer BV.
139;Stahl;Was ist ein "Aufsichtsratsvorsitzender"?;Der BR-Chef;Leiter des Aufsichtsrats;Der Pförtner;Ein Azubi;B;AktG;Er leitet die Sitzungen des Aufsichtsrats und wird meist von der Anteilseignerseite gestellt (außer Montan-Besonderheiten).
140;Allgemein;Wann ist ein BR "beschlussfähig"?;Immer;Wenn mind. die Hälfte anwesend ist;Nur bei 100%;Nur mit dem Chef;B;§ 33 Abs. 2 BetrVG;Die Beschlussfähigkeit ist gegeben, wenn mindestens die Hälfte der Betriebsratsmitglieder an der Beschlussfassung teilnimmt.
141;IT-Datenschutz;Darf der BR eine "IT-Rahmenbetriebsvereinbarung" fordern?;Nein;Ja (zwingende Mitbestimmung);Nur für Laptops;Nur für Apple;B;§ 87 Abs. 1 Nr. 6 BetrVG;Zur Regelung allgemeiner Einführungsgrundsätze von Software ist eine Rahmen-BV sinnvoll und erzwingbar.
142;Freistellung;Wie viele BR-Mitglieder sind bei 500 MA freigestellt?;Keines;Eins;Zwei;Drei;B;§ 38 BetrVG;In Betrieben mit 501 bis 900 Arbeitnehmern sind zwei Betriebsratsmitglieder von ihrer beruflichen Tätigkeit freizustellen (unter 500 ist es eines).
143;Versetzung;Darf der BR einer Versetzung wegen fehlender Qualifikation widersprechen?;Nein;Ja (Nachteil für MA);Nur bei Hitze;Nur nachts;B;§ 99 Abs. 2 Nr. 4 BetrVG;Wenn der betroffene Arbeitnehmer durch die Maßnahme benachteiligt wird, ohne dass dies aus sachlichen Gründen gerechtfertigt ist.
144;Geheimhaltung;Darf der BR die Gehälter der Kollegen kennen?;Nein;Ja (Bruttolohnlisten);Nur die vom Chef;Nur bei Streik;B;§ 80 Abs. 2 BetrVG;Der Betriebsausschuss hat das Recht, die Listen über die Bruttolöhne und -gehälter jederzeit einzusehen.
145;Betriebsvereinbarung;Wann tritt eine BV in Kraft?;Sofort;Wie in der BV vereinbart;Nach 1 Jahr;Nie;B;§ 77 Abs. 2 BetrVG;Das Inkrafttreten richtet sich nach der Vereinbarung in der BV selbst; fehlt diese, mit der Unterzeichnung.
146;Arbeitsschutz;Was ist eine "Sicherheitsfachkraft" (SiFa)?;Ein Türsteher;Berater für Arbeitssicherheit;Der BR-Chef;Ein Polizist;B;§ 5 ASiG;Der Arbeitgeber hat Fachkräfte für Arbeitssicherheit zu bestellen, um ihn beim Arbeitsschutz und bei der Unfallverhütung zu unterstützen.
147;Kuendigung;Darf der BR eine Kündigung "aufschieben"?;Ja;Nein (nur widersprechen);Nur bei Azubis;Nur im Sommer;B;§ 102 BetrVG;Der BR kann die Kündigung nicht verhindern, aber durch einen Widerspruch die Weiterbeschäftigung bis zum Prozessende ermöglichen.
148;Urlaub;Darf man im Urlaub für eine andere Firma arbeiten?;Ja;Nein (Erholungszweck);Nur am Wochenende;Nur ehrenamtlich;B;§ 8 BUrlG;Während des Urlaubs darf der Arbeitnehmer keine dem Urlaubszweck (Erholung) widersprechende Erwerbsarbeit leisten.
149;Arbeitszeit;Darf der BR Schichtzulagen eigenständig erhöhen?;Nein;Ja (Mitbestimmung Entgelt);Nur bei Stahl;Nur bei Nacht;B;§ 87 Abs. 1 Nr. 10 BetrVG;Der BR bestimmt über die Verteilungsgrundsätze mit, die Höhe selbst ist oft im Tarifvertrag geregelt.
150;Stahl;Was ist das "Montan-Modell"?;Ein Auto;Besondere Mitbestimmung (Kohle/Stahl);Ein Ofentyp;Ein Tarifvertrag;B;MontanMitbestG;Das Montan-Modell sieht eine echte Parität im Aufsichtsrat vor (gleich viele Banken/AG-Vertreter wie Arbeitnehmer).
151;Wirtschaft;Was ist der Wirtschaftsausschuss (WA)?;Ein Sparclub;Gremium zur Beratung wirtschaftlicher Fragen;Die Buchhaltung;Der Chef-Zirkel;B;§ 106 BetrVG;In Unternehmen mit mehr als 100 MA muss ein WA gebildet werden, um den BR über die wirtschaftliche Lage zu informieren.
152;Arbeitszeit;Darf der AG "Kappung" von Stunden im System einstellen?;Ja;Nein (Arbeitszeit muss erfasst werden);Nur am Freitag;Nur bei Azubis;B;BAG Urteile;Arbeitszeit, die geleistet wurde, darf nicht einfach durch Software-Einstellungen gelöscht ("gekappt") werden.
153;Kuendigung;Darf der BR eine Kündigung wegen "Low Performance" ablehnen?;Nein;Ja (wenn soziale Gründe überwiegen);Nur bei Diebstahl;Nur bei Azubis;B;§ 102 Abs. 3 BetrVG;Der BR kann widersprechen, wenn der AG die sozialen Gesichtspunkte bei der Auswahl nicht oder nicht ausreichend berücksichtigt hat.
154;Rechte;Darf der BR die Namen der Leiharbeiter wissen?;Nein;Ja (Informationsrecht);Nur bei Streik;Nur bei Unfällen;B;§ 80 Abs. 2 BetrVG;Der AG muss dem BR auf Verlangen die Namen und Einsatzorte von Leiharbeitnehmern mitteilen.
155;Arbeitsschutz;Darf der BR eine externe Messung von Giftstoffen fordern?;Nein;Ja (Gesundheitsschutz);Nur bei Feuer;Nur im Winter;B;§ 80 Abs. 3 BetrVG;Der BR kann zur Erfüllung seiner Aufgaben (Überwachung des Arbeitsschutzes) Sachverständige hinzuziehen.
156;Gehalt;Was ist eine "Zulage für Erschwerung"?;Geld für Urlaub;Geld für Hitze/Lärm;Ein Abzug;Ein Kredit;B;Tarifvertrag;Zusatzentgelt für Arbeiten, die über das normale Maß hinaus belasten (z.B. Arbeiten am Hochofen).
157;Personal;Muss der BR bei jeder Einstellung zustimmen?;Nein;Ja (in Betrieben > 20 MA);Nur bei Chefs;Nur bei Azubis;B;§ 99 BetrVG;Der AG muss den BR vor jeder Einstellung informieren und seine Zustimmung einholen.
158;IT-Datenschutz;Darf der AG Software zur Gesichtserkennung einführen?;Ja;Nein (hohe Hürden/Mitbestimmung);Nur im Büro;Nur nachts;B;§ 87 / DSGVO;Biometrische Daten sind besonders geschützt; der BR hat hier ein massives Mitbestimmungsrecht.
159;Versetzung;Ist die Zuweisung eines anderen Schichtmodells eine Versetzung?;Nein;Ja (erhebliche Änderung);Nur im Sommer;Nur bei Azubis;B;§ 95 Abs. 3 BetrVG;Ändert sich die Arbeitszeitverteilung erheblich (z.B. von Früh auf Konti-Schicht), liegt eine Versetzung vor.
160;Allgemein;Was ist eine "Betriebsvereinbarung (BV)";Ein Wunschzettel;Rechtsnorm zwischen BR und AG;Ein Vertrag mit der Gewerkschaft;Eine Kündigung;B;§ 77 BetrVG;BVs gelten unmittelbar und zwingend für alle Arbeitnehmer des Betriebs, wie ein Gesetz vor Ort.
161;Stahl;Was ist die "Stahl-Stiftung"?;Ein Museum;Auffanggesellschaft bei Entlassungen;Eine Bank;Ein Sportverein;B;Sozialplan;In der Stahlindustrie oft genutzt, um bei Krisen Mitarbeiter zu qualifizieren und in neue Jobs zu vermitteln.
162;Arbeitszeit;Darf der BR Pausenräume fordern?;Nein;Ja (Soziale Angelegenheit);Nur im Keller;Nur für Raucher;B;§ 87 Abs. 1 Nr. 8 BetrVG;Der BR hat bei der Form und Ausgestaltung von Sozialeinrichtungen (wie Pausenräumen) mitzubestimmen.
163;Kuendigung;Darf der AG eine Kündigung per E-Mail aussprechen?;Ja;Nein (Unwirksam);Nur bei Azubis;Nur im Ausland;B;§ 623 BGB;Kündigungen bedürfen der Schriftform (Papier mit Originalunterschrift), E-Mail oder Fax reichen nicht aus.
164;Rechte;Darf der BR an Aufsichtsratssitzungen teilnehmen?;Nie;Ja (wenn er Mitglied ist);Nur als Gast;Nur bei Insolvenz;B;MitbestG;Die vom BR/AN gewählten Vertreter im Aufsichtsrat nehmen an allen Sitzungen und Abstimmungen teil.
165;Arbeitsschutz;Was ist eine "Begehung"?;Ein Spaziergang;Prüfung des Arbeitsplatzes vor Ort;Ein Streik;Eine Feier;B;§ 80 / § 89 BetrVG;BR-Mitglieder haben das Recht, an Besichtigungen und Unfalluntersuchungen des AG oder der Behörden teilzunehmen.
166;Bildung;Darf der BR Schulungen für "Rhetorik" besuchen?;Nein;Ja (erforderlich für Verhandlungen);Nur der Vorsitz;Nur privat;B;§ 37 Abs. 6 BetrVG;Rhetorik kann erforderlich sein, wenn das BR-Mitglied Verhandlungen führen oder Reden (Betriebsversammlung) halten muss.
167;Wirtschaft;Was sind "Betriebsänderungen"?;Umzug von Büros;Einschränkung/Stilllegung/Fusion;Neue Farbe am Ofen;Namensänderung;B;§ 111 BetrVG;Maßnahmen, die wesentliche Nachteile für die Belegschaft haben können. Hier muss ein Interessenausgleich verhandelt werden.
168;Personal;Darf der AG "Sippenhaft" (Gruppenstrafe) verhängen?;Ja;Nein (Verbot von Kollektivstrafen);Nur bei Diebstahl;Nur bei Stahl;B;Arbeitsrecht;Disziplinarische Maßnahmen dürfen sich nur gegen den konkreten Verursacher richten, nicht gegen eine ganze Schicht.
169;IT-Datenschutz;Muss der BR bei "Cloud-Software" zustimmen?;Nein;Ja (wegen Datenübertragung);Nur bei US-Firmen;Nur bei Azubis;B;§ 87 Abs. 1 Nr. 6 BetrVG;Da Cloud-Systeme meist Verhaltensdaten speichern oder übertragen können, besteht Mitbestimmung.
170;Allgemein;Was ist eine "Einigungsstelle"?;Ein Café;Neutraler Schlichter bei Konflikten;Die Kantine;Das Arbeitsgericht;B;§ 76 BetrVG;Wenn AG und BR sich nicht einigen, kann diese Stelle (mit unparteiischem Vorsitz) eine verbindliche Entscheidung fällen.
171;Arbeitszeit;Darf der AG "Arbeit auf Abruf" ohne BR einführen?;Ja;Nein (Mitbestimmung);Nur im Winter;Nur für Rentner;B;§ 87 Abs. 1 Nr. 2 BetrVG;Die Einführung von flexiblen Arbeitszeitsystemen wie Abrufarbeit erfordert die Zustimmung des BR.
172;Stahl;Was regelt der "Montan-Arbeitsdirektor"?;Technik am Ofen;Personal- und Sozialwesen;Die Logistik;Den Verkauf;B;§ 13 MontanMitbestG;Er ist im Vorstand speziell für die Belange der Arbeitnehmer und das Personalwesen zuständig.
173;Kuendigung;Was ist eine "außerordentliche Kündigung"?;Kündigung mit 6 Monaten Frist;Fristlose Kündigung aus wichtigem Grund;Kündigung wegen Alter;Ein Lob;B;§ 626 BGB;Beendigung des Arbeitsverhältnisses ohne Einhaltung einer Frist, wenn die Fortsetzung unzumutbar ist.
174;Rechte;Darf der BR die Namen derer wissen, die Überstunden machen?;Nein;Ja (Kontrollrecht);Nur bei Streik;Nur bei Azubis;B;§ 80 / § 87 BetrVG;Zur Überprüfung, ob die Mitbestimmung bei Mehrarbeit eingehalten wird, darf der BR die Namen und Stunden einsehen.
175;Arbeitsschutz;Was ist eine "Gefahrstoffverordnung"?;Regeln für Pausen;Schutz beim Umgang mit Chemie/Gas;Regeln für Lohn;Parkplatzordnung;B;GefStoffV;Vorschrift zum Schutz der Beschäftigten vor gefährlichen Stoffen (in der Hütte z.B. Gase oder Stäube).
176;Personal;Darf der BR eine Einstellung wegen "Vetternwirtschaft" ablehnen?;Nein;Ja (Benachteiligung anderer);Nur bei Azubis;Nur nachts;B;§ 99 Abs. 2 Nr. 3 BetrVG;Wenn die Besorgnis besteht, dass durch die Einstellung andere Mitarbeiter benachteiligt werden.
177;Gehalt;Ist das "Weihnachtsgeld" im Gesetz geregelt?;Ja;Nein (meist Tarifvertrag/BV/Vertrag);Nur bei Stahl;Nur für Eltern;B;Arbeitsrecht;Es gibt keinen gesetzlichen Anspruch auf Weihnachtsgeld; er entsteht meist aus Tarifverträgen oder betrieblicher Übung.
178;Versetzung;Darf der BR eine Versetzung ablehnen, wenn der MA "nein" sagt?;Ja;Nein (nur bei rechtlichen Gründen);Nur bei Azubis;Nur im Sommer;B;§ 99 Abs. 2 BetrVG;Der BR kann nur aus den im Gesetz genannten Gründen widersprechen, nicht allein weil der MA die Stelle nicht mag.
179;Allgemein;Was ist die "Konstituierende Sitzung"?;Erste Sitzung nach der Wahl;Abschlussfeier;Sitzung beim AG;Streikversammlung;B;§ 29 BetrVG;Die erste Sitzung des neu gewählten BR, in der Vorsitzender und Stellvertreter gewählt werden.
180;Arbeitszeit;Darf der AG "Minus-Stunden" einseitig anordnen?;Ja;Nein (nur über Zeitkonto-Regelung);Nur bei Krise;Nur nachts;B;§ 87 / BV;Ohne eine entsprechende Vereinbarung (BV) trägt der AG das Wirtschaftsrisiko; er darf keine Minusstunden erzwingen, wenn er keine Arbeit hat.
181;Stahl;Was bedeutet "Parität"?;Der Chef entscheidet;Gleichgewicht/Gleichheit;Urlaub für alle;Lohnkürzung;B;MontanMitbestG;Die gleiche Stärke von Arbeitgeber- und Arbeitnehmervertretern in einem Gremium (z.B. Aufsichtsrat).
182;Kuendigung;Wie lange hat der BR Zeit für eine Stellungnahme zur Kündigung?;1 Tag;1 Woche (ordentlich) / 3 Tage (außerordentlich);1 Monat;Gar keine Zeit;B;§ 102 Abs. 2 BetrVG;Bei einer ordentlichen Kündigung muss der BR innerhalb einer Woche reagieren, sonst gilt die Zustimmung als erteilt.
183;Rechte;Darf der BR einen eigenen Internetzugang fordern?;Nein;Ja (Sachmittelanspruch);Nur für Musik;Nur nachts;B;§ 40 Abs. 2 BetrVG;Zur Informationsbeschaffung und Kommunikation hat der BR Anspruch auf zeitgemäße Informationstechnik (Internet/PC).
184;Arbeitsschutz;Wer ist der "Werksarzt"?;Ein Sanitäter;Facharzt für Arbeitsmedizin;Der BR-Chef;Ein Chirurg;B;§ 2 ASiG;Der AG hat Betriebsärzte zu bestellen, um ihn beim Arbeitsschutz und der Unfallverhütung zu unterstützen.
185;Personal;Was ist eine "Beförderung"?;Ein Lob;Versetzung auf eine höherwertige Stelle;Mehr Urlaub;Ein Dienstwagen;B;§ 95 Abs. 3 / § 99 BetrVG;Rechtlich eine Versetzung, da sich der Arbeitsbereich und meist die Verantwortung/Vergütung ändert; mitbestimmungspflichtig.
186;IT-Datenschutz;Darf der AG die Privatnutzung von E-Mails "mitlesen"?;Immer;Nur bei Verdacht auf Straftaten (hohe Hürden);Nie;Nur bei Azubis;B;TDDDG / BDSG;Das Fernmeldegeheimnis schützt E-Mails; eine Kontrolle ist ohne schwerwiegenden Grund und BR-Beteiligung verboten.
